MTS,volume,close,high,low,open
2018/10/7 8:00,262827.2232,0.2256,0.2324,0.2173,0.2173
2018/10/8 8:00,255087.8971,0.2242,0.2283,0.2205,0.2243
2018/10/9 8:00,248523.1216,0.2205,0.225,0.2176,0.2237
2018/10/10 8:00,266787.653,0.2247,0.2267,0.21,0.218
2018/10/11 8:00,395783.7088,0.1933,0.2248,0.1914,0.2248
2018/10/12 8:00,203406.1746,0.2011,0.208,0.1861,0.1921
2018/10/13 8:00,110586.0073,0.2007,0.2046,0.1981,0.2011
2018/10/14 8:00,169666.4998,0.2017,0.2061,0.1998,0.2024
2018/10/15 8:00,385047.2837,0.2082,0.2257,0.1979,0.2017
2018/10/16 8:00,210153.6891,0.2098,0.2131,0.2047,0.2082
2018/10/17 8:00,153844.8361,0.2096,0.22,0.2023,0.2088
2018/10/18 8:00,98288.55163,0.2019,0.2206,0.2019,0.2096
2018/10/19 8:00,222170.034,0.2029,0.2119,0.2004,0.2043
2018/10/20 8:00,87813.29972,0.2046,0.2067,0.2007,0.2016
2018/10/21 8:00,184645.1041,0.206,0.2107,0.2026,0.2047
2018/10/22 8:00,206514.0669,0.202,0.2077,0.1999,0.206
2018/10/23 8:00,122247.6394,0.2023,0.2059,0.2016,0.204
2018/10/24 8:00,61550.37547,0.2028,0.207,0.202,0.2023
2018/10/25 8:00,175600.1921,0.2014,0.2078,0.2011,0.2027
2018/10/26 8:00,114390.6481,0.2013,0.2047,0.2013,0.2042
2018/10/27 8:00,151602.6264,0.2011,0.2038,0.1985,0.2013
2018/10/28 8:00,158022.0219,0.1981,0.2012,0.1927,0.1986
2018/10/29 8:00,268318.5943,0.1839,0.2012,0.1839,0.1981
2018/10/30 8:00,67354.33359,0.1826,0.192,0.18,0.1853
2018/10/31 8:00,167616.1311,0.1847,0.1868,0.178,0.1827
2018/11/1 8:00,79534.27822,0.1852,0.1879,0.1836,0.1848
2018/11/2 8:00,62617.81405,0.1887,0.191,0.1852,0.1853
2018/11/3 8:00,53936.18413,0.1852,0.1888,0.1844,0.1867
2018/11/4 8:00,118859.5784,0.1848,0.1887,0.18,0.1852
2018/11/5 8:00,102337.8691,0.183,0.1882,0.1778,0.1838
2018/11/6 8:00,222882.0782,0.1804,0.1832,0.1779,0.1823
2018/11/7 8:00,234619.9138,0.1882,0.1909,0.1772,0.1808
2018/11/8 8:00,147280.6245,0.1785,0.1852,0.1765,0.1852
2018/11/9 8:00,85984.10626,0.1766,0.1833,0.1766,0.1786
